User ID,Birthdate,City,State,Zip,Available Points,Total Points Earned,Points Spent,Joined On,Last Seen,Tags
55,4/20/2002,Winston Salem,North Carolina,27109,11245,11245,0,9/6/2020 10:25,6/6/2022 6:09,ClassOf2024
56,,,,,2165,2165,0,9/6/2020 12:48,4/19/2022 8:42,ClassOf2022|MBBvsDuke
57,8/15/2001,Winston-Salem,NC,27109,12190,12190,0,9/6/2020 12:53,7/1/2022 8:20,ClassOf2024|21AEP|MBBvsDuke
58,,,,,5720,6220,500,9/6/2020 21:04,5/24/2022 14:23,ClassOf2023|21LXA
59,,Winston Salem,North Carolina,27109,6650,7650,1000,9/6/2020 21:05,6/30/2022 21:41,ClassOf2022|MBBvsDuke
60,4/27/1999,Winston-Salem,NC,27106,6340,6370,30,9/6/2020 21:05,4/19/2022 19:05,ClassOf2022|21LXA|MBBvsDuke
61,,,,,2665,2665,0,9/6/2020 21:06,6/30/2022 19:42,ClassOf2024|21SAE
62,,,,,1160,2410,1250,9/6/2020 21:07,5/7/2021 19:07,Senior|Student|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A
63,6/16/2002,,,,11235,11235,0,9/6/2020 21:07,5/26/2022 21:53,ClassOf2024|Student
64,,,,,2900,2900,0,9/6/2020 21:14,6/3/2022 23:22,ClassOf2022|21DZ
65,8/30/2000,,,,1310,1310,0,9/6/2020 21:14,4/27/2022 9:00,ClassOf2023|MBBvsDuke
66,1/30/2001,,,,4875,4875,0,9/6/2020 21:15,4/18/2022 20:34,ClassOf2023|21DZ|MBBvsDuke
67,10/12/1998,,,,120,1420,1300,9/6/2020 21:25,5/14/2021 10:19,Senior|Student|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A|MSOCvDavidson3.1.21|No Show 1 2021
68,5/30/1998,,,,1285,1285,0,9/6/2020 21:36,5/8/2021 7:27,Student|Senior|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A
69,,,,,1620,2420,800,9/6/2020 21:44,3/26/2022 16:07,ClassOf2022|MBBvsDuke
70,8/9/1999,,,,1350,1350,0,9/6/2020 21:47,,Student|Senior|ClassificationPts|CampbellGroup|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A
71,12/9/1998,,,,1365,1365,0,9/6/2020 21:48,11/8/2021 9:06,Student|Senior|ClassificationPts|CampbellGroup|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A
72,,,,,1180,9680,8500,9/6/2020 22:00,8/23/2021 21:20,Student|Senior|ClassificationPts|19RetroactivePoints|CampbellGroup|MSOC-UAB101020|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|MSOCvDavidson3.1.21|MBBvGTech30521
73,6/26/1999,,,,1475,11175,9700,9/6/2020 22:24,12/24/2021 12:52,Student|Senior|ClassificationPts|19RetroactivePoints|CampbellGroup|MSOC-UAB101020|UVALottery_GroupEntry1013|UVALotteryWinner|MSOC-UNC101820|NOBSBvsNDGame3|NOBSBvsNDGame3A|MSOCvDavidson3.1.21|MBBvGTech30521|21ACCMBBTournament|No Show 1 2021|WSOCvElonCancel|BSBvsVTech4.10.21
74,,Winston-Salem,North Carolina,27106,2290,12590,10300,9/6/2020 22:25,6/1/2021 19:08,Student|Senior|ClassificationPts|19RetroactivePoints|CampbellGroup|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|MSOCvDavidson3.1.21|No Show 1 2021|MBBvGTech30521|21ACCMBBTournament|WTENvODUCancel|BSBvsVTech4.10.21
75,8/3/1998,Jacksonville ,FL,32223,1480,10530,9050,9/6/2020 22:26,1/13/2022 18:42,Student|Senior|ClassificationPts|19RetroactivePoints|CampbellGroup|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|MSOCvDavidson3.1.21|MBBvGTech30521|21ACCMBBTournament|WTENvODUCancel|BSBvsVTech4.10.21
76,12/28/1998,,,,270,7720,7450,9/6/2020 22:37,5/11/2021 9:31,Senior|Student|ClassificationPts|19RetroactivePoints|CampbellGroup|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|MBBvGTech30521
77,11/14/1998,,,,2040,10240,8200,9/6/2020 22:44,2/18/2022 13:42,Student|Senior|ClassificationPts|19RetroactivePoints|CampbellGroup|MSOC-UAB101020|UVALottery_GroupEntry1013|UVALotteryWinner|MSOC-UNC101820|NOBSBvsNDGame3|NOBSBvsNDGame3A|MSOCvDavidson3.1.21|MBBvGTech30521|21ACCMBBTournament|No Show 1 2021|WTENvODUCancel|WSOCvElonCancel|BSBvsVTech4.10.21
78,,,,,300,300,0,9/6/2020 22:46,,Student|NOBSBvsNDGame3|NOBSBvsNDGame3A
79,1/7/1999,,,,1810,3560,1750,9/6/2020 22:56,5/8/2022 23:55,GraduateStudent
80,5/8/1999,,,,475,3475,3000,9/6/2020 23:08,2/16/2022 9:30,Student|Senior|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A|MBBvGTech30521
81,,,,,400,400,0,9/6/2020 23:13,11/25/2020 13:48,Student|CampbellIndy|NOBSBvsNDGame3|NOBSBvsNDGame3A
82,5/5/1999,,,,855,5605,4750,9/6/2020 23:15,8/30/2021 10:56,Student|Senior|ClassificationPts|CampbellGroup|UVATrioWinner|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|MBBvGTech30521
83,,,,,920,1420,500,9/6/2020 23:20,5/27/2022 3:19,ClassOf2024
84,2/2/2001,,,,4560,4860,300,9/6/2020 23:20,4/24/2022 19:34,ClassOf2023
85,5/27/2000,,,,4765,7265,2500,9/6/2020 23:23,5/4/2022 9:03,ClassOf2022|MBBvsDuke
86,3/23/2001,,,,11725,12025,300,9/6/2020 23:52,5/8/2022 9:21,ClassOf2023
87,,,,,800,800,0,9/7/2020 0:01,,Senior|Student|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A
88,,,,,700,700,0,9/7/2020 0:01,,Student|Senior|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A
89,,,,,700,700,0,9/7/2020 0:01,2/20/2021 14:50,Senior|Student|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A
90,,,,,2195,2195,0,9/7/2020 0:09,6/8/2021 14:36,Student|Senior|ClassificationPts|19RetroactivePoints|CampbellGroup|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|21ACCMBBTournament
91,11/23/1999,,,,5665,14665,9000,9/7/2020 1:32,7/1/2022 6:19,ClassOf2022|MBBvsDuke|ClassOf2025
92,4/11/2002,Durham,NC,27707-1634,1000,1000,0,9/7/2020 3:31,6/24/2022 18:30,ClassOf2024
93,,Charlotte ,NC,28277,950,1350,400,9/7/2020 9:37,5/9/2021 22:47,Student|Senior|ClassificationPts|UVALottery_GroupEntry1013|NOBSBvsNDGame3|NOBSBvsNDGame3A
94,6/9/1999,,,,980,1000,20,9/7/2020 10:15,9/17/2021 21:16,Student|Senior|ClassificationPts|UVALottery_GroupEntry1013|NOBSBvsNDGame3|NOBSBvsNDGame3A
95,1/11/1998,Orleans ,MA,2653,960,1000,40,9/7/2020 10:18,8/23/2021 21:50,Student|Senior|ClassificationPts|UVALottery_GroupEntry1013|NOBSBvsNDGame3|NOBSBvsNDGame3A
96,,Darien,CT,6820,1370,1865,495,9/7/2020 12:03,3/25/2022 17:58,ClassOf2024
97,,Washington,District of Columbia,20005,2130,2150,20,9/7/2020 12:15,7/12/2021 15:36,Student|Senior|ClassificationPts|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|21ACCMBBTournament
98,7/22/1999,,,,2135,2135,0,9/7/2020 12:18,3/16/2022 18:42,GraduateStudent|MBBvsDuke
99,,,,,19790,20290,500,9/7/2020 12:29,6/26/2022 14:42,ClassOf2022|MBBvsDuke|ClassOf2023
100,,Winston salem,North Carolina,27106,4785,7410,2625,9/7/2020 14:20,5/18/2022 11:54,ClassOf2022|21SAE|MBBvsDuke
101,,Winston Salem,NC,27106,500,700,200,9/7/2020 14:21,,Student|Senior|ClassificationPts|CampbellIndy|NOBSBvsNDGame3|NOBSBvsNDGame3A
102,,,,,525,525,0,9/7/2020 14:22,3/15/2021 10:30,Student|DriveInNCSU|19RetroactivePoints|NOBSBvsNDGame3|NOBSBvsNDGame3A
103,,,,,1510,1510,0,9/7/2020 14:24,3/14/2022 10:00,ClassOf2022
104,,,,,2720,3720,1000,9/7/2020 14:25,5/11/2022 19:09,ClassOf2022|21SAE|MBBvsDuke
105,,,,,660,3660,3000,9/7/2020 14:50,9/13/2021 8:48,ClassOf2022
106,,,,,300,300,0,9/7/2020 14:54,,Student|UVALottery_GroupEntry1013|NOBSBvsNDGame3|NOBSBvsNDGame3A
107,9/2/1998,,,,1725,59525,57800,9/7/2020 15:16,6/29/2022 23:53,ClassOf2025|MBBvsDuke
108,,,,,920,920,0,9/7/2020 16:04,5/18/2022 11:01,ClassOf2022|21DZ
109,,,,,1000,1000,0,9/7/2020 16:59,1/26/2022 12:16,ClassOf2023|21DZ
110,,,,,690,690,0,9/7/2020 17:00,11/13/2021 11:22,Student|19RetroactivePoints|NOBSBvsNDGame3|NOBSBvsNDGame3A
111,,,,,880,880,0,9/7/2020 17:10,5/11/2022 13:13,ClassOf2023
112,,,,,2835,2835,0,9/7/2020 17:17,5/20/2022 12:23,ClassOf2022|MBBvsDuke
113,,,,,1280,1280,0,9/7/2020 17:42,5/17/2021 10:47,Student|Senior|ClassificationPts|19RetroactivePoints|NOBSBvsNDGame3|NOBSBvsNDGame3A
114,7/6/2000,,,,2360,2860,500,9/7/2020 19:11,3/25/2022 19:51,ClassOf2022
115,,,,,825,825,0,9/7/2020 19:15,4/6/2022 9:18,ClassOf2024
116,7/21/2000,,,,3050,3050,0,9/7/2020 19:30,3/25/2022 17:41,ClassOf2023|21EPI|MBBvsDuke
117,,,,,990,1290,300,9/7/2020 19:30,12/11/2021 20:32,ClassOf2023|21DZ
118,,,,,2480,2480,0,9/7/2020 19:35,6/29/2022 19:21,ClassOf2023|21DZ
119,,,,,3850,3850,0,9/7/2020 19:37,3/25/2022 17:38,ClassOf2023|21TC|MBBvsDuke
120,10/11/2000,,,,1740,1740,0,9/7/2020 19:40,12/4/2021 16:01,ClassOf2023
121,1/21/2001,,,,800,800,0,9/7/2020 19:51,10/30/2021 13:48,ClassOf2023
122,,,,,4480,4480,0,9/7/2020 20:02,5/6/2022 11:53,ClassOf2022
123,,,,,300,300,0,9/7/2020 21:01,,Student|NOBSBvsNDGame3|NOBSBvsNDGame3A
124,7/31/1998,Rocky hill,CT,6067,1570,10435,8865,9/7/2020 21:24,4/20/2022 23:14,Senior|Student|ClassificationPts|19RetroactivePoints|CampbellGroup|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|MBBvGTech30521|21ACCMBBTournament|WTENvsSyracuse3.19.21|WTENvODUCancel|WSOCvElonCancel|BSBvsVTech4.10.21
125,6/21/1999,,,,3610,3610,0,9/7/2020 22:24,4/16/2022 17:49,Senior|Student|ClassificationPts|19RetroactivePoints|CampbellGroup|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|MBBvGTech30521
126,,,,,2155,2155,0,9/7/2020 23:16,1/12/2022 17:36,ClassOf2023
127,8/27/2001,,,,1040,1040,0,9/7/2020 23:19,3/23/2022 9:42,ClassOf2023
128,4/20/1999,,,,930,930,0,9/7/2020 23:27,11/23/2020 17:19,Senior|Student|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A
129,,Jackson,MS,39211,4430,4330,100,9/8/2020 0:25,4/1/2022 20:32,ClassOf2023
130,,,,,550,450,0,9/8/2020 2:14,11/30/2021 18:19,ClassOf2024|Student
131,,,,,6125,6925,1000,9/8/2020 7:26,4/19/2022 15:53,ClassOf2023|MBBvsDuke
132,,,,,1165,2165,1000,9/8/2020 10:23,12/2/2021 22:48,ClassOf2023|21DZ
133,7/24/1999,,,,3080,3080,0,9/8/2020 11:12,8/21/2021 16:08,Senior|Student|ClassificationPts|CampbellGroup|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|MBBvGTech30521
134,,,,,1000,1000,0,9/8/2020 11:56,10/22/2020 9:15,Senior|Student|ClassificationPts|19RetroactivePoints|CampbellGroup|NOBSBvsNDGame3|NOBSBvsNDGame3A
135,,,,,2720,2720,0,9/8/2020 12:12,4/11/2022 14:04,GraduateStudent
136,,,,,4360,4360,0,9/8/2020 12:19,12/11/2021 19:19,ClassOf2023|21AEPI
137,,,,,600,600,0,9/8/2020 12:24,11/13/2021 17:48,ClassOf2024|21KA
138,,,,,2060,2060,0,9/8/2020 12:24,6/29/2022 8:02,GraduateStudent
139,9/3/1997,,,,2990,2990,0,9/8/2020 12:26,10/12/2021 21:10,Graduate Student|Student|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A
140,,,,,1310,1310,0,9/8/2020 12:27,1/2/2022 19:00,GraduateStudent
141,,,,,2105,2105,0,9/8/2020 12:29,3/2/2022 20:54,ClassOf2024
142,,,,,1150,1150,0,9/8/2020 12:31,1/23/2022 9:54,GraduateStudent
143,,,,,1210,1210,0,9/8/2020 12:32,4/8/2022 1:26,ClassOf2024
144,,,,,2350,2350,0,9/8/2020 12:38,3/2/2022 20:45,ClassOf2024|21KA|MBBvsDuke
145,,,,,3360,3360,0,9/8/2020 13:02,3/2/2022 20:51,ClassOf2023|MBBvsDuke
146,,Kenneth Square,PA,19348,1785,2845,1060,9/8/2020 13:04,1/13/2022 18:54,ClassOf2023
147,,,,,1565,1565,0,9/8/2020 13:19,3/2/2022 8:37,ClassOf2023
148,,,,,4080,4080,0,9/8/2020 13:22,11/14/2021 23:48,ClassOf2023
149,,,,,1010,2260,1250,9/8/2020 13:41,4/16/2022 16:10,ClassOf2023
150,,,,,230,530,300,9/8/2020 13:41,11/20/2021 16:18,Graduate Student|Student|ClassificationPts|CampbellIndy|NOBSBvsNDGame3|NOBSBvsNDGame3A|No Show 1 2021
151,,,,,1550,1550,0,9/8/2020 13:45,2/21/2022 15:52,ClassOf2022
152,,,,,3580,3580,0,9/8/2020 14:08,3/17/2022 13:06,ClassOf2024|21EPI|MBBvsDuke
153,,Winston-Salem,NC,27106,3650,4050,400,9/8/2020 14:30,5/28/2022 23:45,ClassOf2022|MBBvsDuke
154,1/3/2000,,,,2570,2570,0,9/8/2020 14:34,5/18/2022 19:17,ClassOf2022|MBBvsDuke
155,,,,,1960,1960,0,9/8/2020 14:41,3/15/2022 9:29,ClassOf2024|21EPI|MBBvsDuke
156,6/11/1999,,,,940,2260,1320,9/8/2020 15:13,5/11/2021 20:49,Senior|Student|ClassificationPts|19RetroactivePoints|MSOC-UAB101020|MSOC-UNC101820|MSOC20_UNCNoShows|NOBSBvsNDGame3|NOBSBvsNDGame3A|MSOCvDavidson3.1.21
157,,,,,700,700,0,9/8/2020 15:18,,Senior|Student|ClassificationPts|NOBSBvsNDGame3|NOBSBvsNDGame3A
158,,Pinehurst,NC,28374,1550,1600,50,9/8/2020 15:22,4/18/2022 18:26,ClassOf2022|MBBvsDuke
159,,,,,2760,3260,500,9/8/2020 15:32,4/8/2022 19:46,ClassOf2024|MBBvsDuke
160,5/27/1999,,,,2380,2380,0,9/8/2020 15:38,3/2/2022 20:36,ClassOf2022|MBBvsDuke
161,,,,,1400,1400,0,9/8/2020 15:46,11/27/2021 21:22,GraduateStudent
162,,,,,1235,1235,0,9/8/2020 15:50,10/22/2020 20:05,Senior|Student|ClassificationPts|CampbellGroup|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A|MBBvGTech30521
163,,,,,1250,1250,0,9/8/2020 16:21,,Senior|Student|ClassificationPts|19RetroactivePoints|CampbellGroup|NOBSBvsNDGame3|NOBSBvsNDGame3A
164,12/14/1998,,,,2960,2960,0,9/8/2020 17:01,5/3/2022 17:52,GraduateStudent|MBBvsDuke
165,,Oak Ridge,NC,27310,4800,5400,600,9/8/2020 17:02,3/15/2022 9:04,ClassOf2022
166,,,,,2305,2305,0,9/8/2020 17:04,4/18/2022 10:57,ClassOf2024
167,,,,,1785,1785,0,9/8/2020 17:06,3/2/2022 21:29,ClassOf2024
168,,,,,1200,1200,0,9/8/2020 17:06,10/14/2020 16:20,Senior|Student|ClassificationPts|19RetroactivePoints|NOBSBvsNDGame3|NOBSBvsNDGame3A
169,,,,,1060,1360,300,9/8/2020 17:09,11/13/2021 19:33,ClassOf2024
170,,,,,1775,1775,0,9/8/2020 17:10,2/23/2022 10:27,ClassOf2024|MBBvsDuke
171,,,,,2350,2350,0,9/8/2020 17:12,4/15/2022 20:26,ClassOf2024
172,,,,,3010,3010,0,9/8/2020 17:12,4/15/2022 19:20,ClassOf2024|21DZ
173,,Cary,NC,27513,2185,2235,50,9/8/2020 17:15,3/2/2022 12:59,ClassOf2024|21DZ
174,,,,,1680,1680,0,9/8/2020 17:15,11/13/2020 19:15,Senior|Student|DriveInNCSU|ClassificationPts|19RetroactivePoints|CampbellIndy|NOBSBvsNDGame3|NOBSBvsNDGame3A
175,9/15/1999,,,,1485,1485,0,9/8/2020 17:16,7/3/2021 14:29,Senior|Student|ClassificationPts|CampbellIndy|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A
176,,,,,4200,4200,0,9/8/2020 17:17,6/30/2022 18:09,ClassOf2024|21LXA
177,,,,,2865,2865,0,9/8/2020 17:19,4/19/2022 14:05,ClassOf2024|MBBvsDuke
178,,,,,960,960,0,9/8/2020 17:20,1/19/2022 9:36,ClassOf2024|21KBG
179,5/22/2002,,,,1110,1670,560,9/8/2020 17:23,3/1/2022 11:29,ClassOf2024|MBBvsDuke
180,,Charlotte,NC,28277,2330,2480,150,9/8/2020 17:25,4/10/2022 16:19,ClassOf2024|MBBvsDuke
181,9/16/2000,,,,5405,5905,500,9/8/2020 17:30,4/22/2022 14:52,ClassOf2023|21TC|MBBvsDuke
182,,,,,960,960,0,9/8/2020 17:33,11/30/2021 20:50,ClassOf2024
183,,,,,3030,3530,500,9/8/2020 17:33,4/16/2022 16:28,ClassOf2023
184,,,,,720,720,0,9/8/2020 17:35,4/11/2022 14:02,ClassOf2023|Student
185,,,,,8605,8605,0,9/8/2020 17:37,1/10/2022 20:55,ClassOf2024
186,12/28/1998,,,,1150,3650,2500,9/8/2020 17:40,6/11/2022 9:29,GraduateStudent
187,,,,,960,1460,500,9/8/2020 17:56,2/18/2022 23:11,ClassOf2024|21EPI
188,,,,,10245,10245,0,9/8/2020 17:58,4/19/2022 17:00,ClassOf2023
189,,,,,7620,7620,0,9/8/2020 18:10,6/26/2022 20:46,ClassOf2024|21LXA|MBBvsDuke
190,5/19/1999,,,,1465,1465,0,9/8/2020 18:15,5/24/2021 7:49,Senior|Student|ClassificationPts|CampbellIndy|UVALottery_GroupEntry1013|UVALotteryWinner|NOBSBvsNDGame3|NOBSBvsNDGame3A
191,,,,,810,810,0,9/8/2020 18:19,1/20/2022 13:48,ClassOf2024
192,,,,,2530,2530,0,9/8/2020 18:27,5/27/2022 2:16,ClassOf2024|21EX
193,,,,,1280,1280,0,9/8/2020 18:29,5/13/2021 22:17,Senior|Student|ClassificationPts|19RetroactivePoints|CampbellGroup|NOBSBvsNDGame3|NOBSBvsNDGame3A
194,2/16/2000,Winston-Salem,NC,27106,1235,12520,11285,9/8/2020 18:35,6/28/2022 15:53,ClassOf2022|21LXA|ClassOf2025
195,,,,,2310,2610,300,9/8/2020 18:51,3/19/2022 10:42,ClassOf2022|MBBvsDuke|Student
196,,Shaker Hts,Ohio,44120,3280,3330,50,9/8/2020 19:00,4/10/2022 11:42,ClassOf2023|MBBvsDuke
197,,,,,2820,2820,0,9/8/2020 19:05,3/22/2022 15:16,ClassOf2024|21LXA
198,3/12/2002,,,,5520,5520,0,9/8/2020 19:07,6/30/2022 12:23,ClassOf2024
199,,,,,350,850,500,9/8/2020 19:09,1/11/2022 17:19,ClassOf2024
200,,,,,2760,2760,0,9/8/2020 19:15,4/1/2022 19:16,ClassOf2022|MBBvsDuke
201,,,,,510,510,0,9/8/2020 19:15,2/26/2022 18:45,ClassOf2024
